Instructor,Rating,Would Take Again,Difficulty,Tags
Gary Fields,3/5,38%,2.5,"Participation matters, Get ready to read, Graded by few things, Amazing lectures, Tests? Not many"
Evgenii Baranov,N/A,N/A,N/A,
Piya Pal,3.1/5,57%,4.9,"Lots of homework, Tough grader, Test heavy, Skip class? You won't pass., Lecture heavy"
Travis Dean Chamberlain,5/5,100%,1,"Participation matters, EXTRA CREDIT, Caring"
Claire Ellen Edington,4.9/5,100%,2.3,"EXTRA CREDIT, Caring, Get ready to read, Participation matters, Amazing lectures"
Benjamin H. Bratton,3.4/5,67%,3.5,"Group projects, Amazing lectures, Inspirational, Respected, Tests? Not many"
Tricia Ornelas,5/5,100%,2,"Caring, Respected, Participation matters, Group projects, Gives good feedback"
Robert Brian Tracz,4/5,100%,3,None
Ian Zachariah Drosos,4.1/5,N/A,1.6,None
Ana Eugenia,N/A,N/A,N/A,
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Zachary Douglas Higgins,2.3/5,40%,4.3,"Tough grader, Test heavy, Lots of homework, Caring, Accessible outside class"
Jasper Jack Cooper,5/5,100%,3,"Inspirational, Hilarious, Accessible outside class"
Avaneesh Venkata Narla,5/5,100%,3.3,"EXTRA CREDIT, Caring, Amazing lectures, Clear grading criteria, Gives good feedback"
Juan Herreno,2.5/5,N/A,3.5,None
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Brian Palenik,2.7/5,100%,4,"Tough grader, Get ready to read, Participation matters, Amazing lectures, Beware of pop quizzes"
Lingyan Shi,5/5,100%,4,"Clear grading criteria, Inspirational, Hilarious"
Dorothy Rose,5/5,87%,4.9,"Get ready to read, Test heavy, Tough grader, Skip class? You won't pass., Lecture heavy"
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Deborah Isobel Stein,N/A,N/A,N/A,
Mark Jacobsen,4.4/5,73%,3.3,"Clear grading criteria, Caring, Accessible outside class, Amazing lectures, Lecture heavy"
Alain J. J. Cohen,3.2/5,0%,2.5,"Gives good feedback, Inspirational, So many papers, Lecture heavy, Skip class? You won't pass."
Lera Boroditsky,3.1/5,45%,2.5,"Graded by few things, Amazing lectures, Would take again, Tests? Not many, Test heavy"
Patrick H. Patterson,4.1/5,76%,2.8,"Get ready to read, Participation matters, Inspirational, Lots of homework, Caring"
Miller S. Puckette,2.8/5,75%,3.2,"Respected, Lecture heavy, Clear grading criteria, Gives good feedback, Hilarious"
Mareike Dressler,4.2/5,85%,4,"Amazing lectures, Caring, Accessible outside class, Inspirational, Lots of homework"
Nancy D. Cartwright,3.7/5,N/A,2,None
Elizabeth Fine,3.3/5,80%,2.4,"Respected, Amazing lectures, Caring, Clear grading criteria, Would take again"
David Serlin,3.3/5,25%,3.4,"Tough grader, Get ready to read, Skip class? You won't pass., Amazing lectures, Lecture heavy"
Stephanie F Richards,5/5,N/A,2,None
Nancy Kwak,4/5,65%,3.3,"Get ready to read, Lecture heavy, Participation matters, Caring, Clear grading criteria"
James Ernest Hall,3.8/5,N/A,2.1,Would take again
Tianyi Zheng,2.6/5,42%,4.3,"Tough grader, Test heavy, Get ready to read, Amazing lectures, Lots of homework"
Valerie A Schmidt,3.3/5,50%,4.4,"Tough grader, Test heavy, Skip class? You won't pass., EXTRA CREDIT, Amazing lectures"
Ramamohan Paturi,2.8/5,50%,2.9,"Tough grader, Get ready to read, Lecture heavy, Lots of homework, Skip class? You won't pass."
Frederick Joel Harris,4.4/5,67%,3.1,"Inspirational, Skip class? You won't pass., Amazing lectures, Lots of homework, Hilarious"
Jiun-Shyan Chen,3.3/5,100%,3,"Participation matters, Group projects, Inspirational, Caring"
Kelly Gates,4.3/5,100%,1.9,"Get ready to read, Clear grading criteria, Tests? Not many, Gives good feedback, Caring"
Charles R.,3.8/5,55%,3.4,"Get ready to read, Lecture heavy, Tough grader, Lots of homework, So many papers"
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Garrett Swan,5/5,100%,2,"Amazing lectures, Hilarious, Caring"
Jill Cathleen Wildonger,4.1/5,50%,3.5,"Skip class? You won't pass., Clear grading criteria, Tough grader, Amazing lectures, Lecture heavy"
Patrick L Ling,N/A,N/A,N/A,
Bayan Abusneineh,N/A,N/A,N/A,
Mark G. Hanna,4.1/5,67%,2.9,"Amazing lectures, So many papers, Lecture heavy, Tough grader, Get ready to read"
Natalie Susi,3.8/5,70%,2.9,"Inspirational, Get ready to read, Caring, Gives good feedback, Respected"
Kathryn Jeanette Mayer,4.8/5,100%,2.7,"Gives good feedback, Would take again, Participation matters, EXTRA CREDIT, Respected"
Bretton Sigfred Rodriguez,4.1/5,80%,3,"Get ready to read, Participation matters, Skip class? You won't pass., Amazing lectures, Lecture heavy"
Babak Rahimi,4.5/5,69%,2.5,"Get ready to read, Hilarious, Caring, Amazing lectures, Inspirational"
Daniel F. Sievenpiper,2.8/5,34%,4.2,"Tough grader, Respected, Skip class? You won't pass., Hilarious, Inspirational"
Joerg Neuheiser,2.5/5,42%,3.8,"Get ready to read, Tough grader, Lecture heavy, Skip class? You won't pass., Graded by few things"
Ana Maria Alvarez,5/5,N/A,1,None
Karen Kovaka,4/5,50%,3.3,"Tough grader, Skip class? You won't pass., Test heavy"
Ruben Ortiz-Torres,1.9/5,25%,2.9,"Participation matters, Skip class? You won't pass., Lecture heavy, Graded by few things"
Andrew Ellis Allen,4.7/5,N/A,1.7,None
Oleg Shpyrko,4.6/5,91%,3.3,"Caring, Hilarious, Respected, Amazing lectures, Accessible outside class"
Camille Forbes,3.9/5,50%,2.7,"Respected, Tough grader, Skip class? You won't pass., Gives good feedback, Lecture heavy"
Dana V. Murillo,2.5/5,70%,3,"Lecture heavy, Get ready to read, Participation matters, Clear grading criteria, Skip class? You won't pass."
Andrew David Barton,4.9/5,100%,3.6,"Caring, Get ready to read, Skip class? You won't pass., Hilarious, Lecture heavy"
Gedeon O. Deak,3.2/5,34%,2.6,"Get ready to read, Lecture heavy, Tough grader, EXTRA CREDIT, Lots of homework"
Jiawang Nie,3.9/5,75%,2.8,"Lots of homework, Gives good feedback, Amazing lectures, Accessible outside class, Tough grader"
Caroline Moosmueller,3.8/5,60%,3,"Accessible outside class, Amazing lectures, Clear grading criteria, Caring, Respected"
Scott Jacob Rothberg,5/5,100%,4,"Participation matters, Hilarious, Caring"
Andrew J Jolivette,4.8/5,100%,1.5,"Respected, Hilarious, Amazing lectures, Clear grading criteria, Get ready to read"
Tim Gentner,3.5/5,84%,3.3,"Lecture heavy, Test heavy, Graded by few things, Caring, Get ready to read"
Alexander Michael,4.3/5,100%,1.9,"Get ready to read, Amazing lectures, Clear grading criteria, Respected, Graded by few things"
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Denise McKenna,3.3/5,34%,3.3,"Get ready to read, Lecture heavy, Tough grader, Skip class? You won't pass., Tests are tough"
Tera Reid-Olds,N/A,N/A,N/A,
Miles Luke Berg,N/A,N/A,N/A,
Augusto Nieto-Barthaburu,3/5,59%,2.9,"Tough grader, Respected, Accessible outside class, Amazing lectures, Gives good feedback"
Pam Reinagel,3.1/5,N/A,2.8,"Get ready to read, Participation matters, Lots of homework"
Susan S. Golden,3.2/5,12%,3.2,"Lots of homework, Lecture heavy, Skip class? You won't pass., Get ready to read, Tough grader"
Amanda Maria Yoland Martin Sandino,5/5,100%,1,"Amazing lectures, Gives good feedback, Inspirational"
Taylor D Berg-Kirkpatrick,5/5,100%,2.5,"Caring, Clear grading criteria, Amazing lectures, Inspirational, Respected"
Melvin Leok,3.5/5,N/A,2.3,None
Margaret S. Lott,5/5,N/A,3,None
Daniel C Hallin,3.4/5,N/A,3.6,None
John Thomas Serences,3.9/5,80%,2.8,"Clear grading criteria, Accessible outside class, Amazing lectures, Respected, Lecture heavy"
Jin-Kyung Lee,4.2/5,84%,2,"Get ready to read, Clear grading criteria, Gives good feedback, Beware of pop quizzes, Caring"
Todd Curtis Kontje,4.6/5,71%,3.3,"EXTRA CREDIT, Get ready to read, Test heavy, Lecture heavy, Clear grading criteria"
Aranya Lahiri,5/5,100%,3.4,"Caring, Accessible outside class, Amazing lectures, Inspirational, Hilarious"
Marianna Hovhannisyan,5/5,100%,3.3,"Caring, Amazing lectures, Clear grading criteria, Inspirational, Accessible outside class"
Justin Daniel McIntosh,5/5,96%,2.5,"EXTRA CREDIT, Caring, Respected, Clear grading criteria, Amazing lectures"
Russell Impagliazzo,2.4/5,25%,4.1,"Lots of homework, Get ready to read, Caring, Lecture heavy, Tough grader"
Tiago Carrilho,2.5/5,63%,3.1,"Caring, Tough grader, Graded by few things, Accessible outside class, Participation matters"
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Marco Octavio Aburto Oropeza,4/5,100%,2,Graded by few things
Jo Dee C Jacob,5/5,100%,1.6,"Participation matters, Inspirational, Caring, Respected, Group projects"
Yucheng Tu,5/5,100%,3.4,"Clear grading criteria, Lots of homework, Test heavy, Gives good feedback, Respected"
Angela Beth Lowe,5/5,84%,3.5,"Clear grading criteria, Skip class? You won't pass., EXTRA CREDIT, Amazing lectures, Caring"
Timothy Patterson,4.5/5,100%,3,"Participation matters, Clear grading criteria, Gives good feedback, Get ready to read, Amazing lectures"
Charles Bruce Oates,4.6/5,N/A,2.3,None
Emma Ruth Duncan,5/5,100%,2.8,"Gives good feedback, Clear grading criteria, Inspirational, Caring, Participation matters"
Kyle Michael Shannon,4.5/5,100%,2.4,"Group projects, Amazing lectures, Inspirational, Caring, Gives good feedback"
Julian Betts,4.6/5,100%,2.5,"Amazing lectures, Would take again, Inspirational, Caring, Test heavy"
Nancy Sun Kyung Kim,4.5/5,N/A,4,"Get ready to read, Clear grading criteria, Would take again"
Thomas Allan Powell,2.3/5,28%,3.6,"Lots of homework, Lecture heavy, Participation matters, Skip class? You won't pass., Group projects"
Lauren Jean,3.5/5,50%,2.9,"Skip class? You won't pass., Lots of homework, Clear grading criteria, Gives good feedback, Lecture heavy"
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Stephen P. Mayfield,4.1/5,100%,3,"Skip class? You won't pass., Tough grader, Get ready to read, Participation matters, Amazing lectures"
Magnus Roland Felke,5/5,100%,2.8,"Get ready to read, Participation matters, Group projects, Amazing lectures, Clear grading criteria"
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Bradford C Auerbach,N/A,N/A,N/A,
Karcher William Morris,5/5,100%,3.1,"Caring, Accessible outside class, Skip class? You won't pass., Inspirational, Respected"
Connor Redpath,N/A,N/A,N/A,
Rie Maruyama,4.8/5,100%,2.8,"Participation matters, Clear grading criteria, Gives good feedback, Amazing lectures, Lots of homework"
Kaitlin Rhianna Van Alstyne,4.2/5,87%,3.2,"Caring, Amazing lectures, Tough grader, Participation matters, Skip class? You won't pass."
Daniel Andrew Bajic,3.8/5,100%,3,"Participation matters, Amazing lectures, Gives good feedback"
Jeffrey Dennis Rinehart,4.3/5,100%,3.5,"Participation matters, Clear grading criteria, Caring, Amazing lectures, Test heavy"
Aravind Rao Karanam,2/5,0%,4,"Tough grader, Skip class? You won't pass., Lecture heavy, Test heavy"
Matilde Cordoba Azcarate,5/5,100%,1,"Gives good feedback, Graded by few things, Accessible outside class"
Sheng Xu,4.7/5,86%,2.3,"Caring, Skip class? You won't pass., Inspirational, Hilarious, Respected"
Mikkal E. Herberg,5/5,N/A,2,None
Frank Peter Biess,4.1/5,100%,2.5,"Get ready to read, Respected, Participation matters, Amazing lectures, Clear grading criteria"
Ayse P Saygin,3/5,29%,3.4,"Respected, Group projects, Clear grading criteria, Inspirational"
Manuel Shvartzberg,3.5/5,46%,3.6,"Get ready to read, Hilarious, Participation matters, Beware of pop quizzes, Graded by few things"
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Gordon B. Dahl,3.8/5,62%,3.8,"Tough grader, Lots of homework, Test heavy, Amazing lectures, Gives good feedback"
Michail Savvas,5/5,100%,2.6,"Caring, Accessible outside class, Amazing lectures, Respected, Gives good feedback"
Qi Yu,2.9/5,50%,3,"Tough grader, Lots of homework, Get ready to read, Lecture heavy, Accessible outside class"
Catherine Nickels,FAILED SEARCH,FAILED SEARCH,FAILED SEARCH,
Catherine Frances,4/5,67%,4,"Lots of homework, Caring, Test heavy, Lecture heavy, Accessible outside class"
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Julia Anna Adrian,N/A,N/A,N/A,
Michael Thomas,5/5,95%,4.3,"Amazing lectures, Respected, Inspirational, Gives good feedback, Caring"
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Eric E Fullerton,2.5/5,13%,3.9,"Lots of homework, Tough grader, Lecture heavy, Get ready to read, Skip class? You won't pass."
Jennifer Mackinnon,2/5,0%,4,"Tough grader, Get ready to read, Skip class? You won't pass."
Ulrike Strasser,5/5,100%,3,"Participation matters, Gives good feedback, Hilarious"
Kwun Chung,2.6/5,70%,3.5,"Clear grading criteria, Lots of homework, Caring, Get ready to read, Respected"
Hongyi Sheng,N/A,N/A,N/A,
Muzhi Jin,3.7/5,50%,2.7,"Participation matters, Tough grader, Skip class? You won't pass., Gives good feedback, Caring"
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Edward William Kelting,5/5,100%,3.1,"Caring, Amazing lectures, Get ready to read, Accessible outside class, Participation matters"
Caren Michelle Walker,4.3/5,100%,3.4,"EXTRA CREDIT, Amazing lectures, Caring, Lecture heavy, Accessible outside class"
Sergey A,2.1/5,0%,3.3,"Tough grader, Get ready to read, Clear grading criteria, Test heavy, Graded by few things"
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Lisa Shaffer,3.8/5,67%,2.1,"Inspirational, Caring, Get ready to read, Participation matters, Group projects"
Loren K.,3.8/5,100%,3.4,"Respected, Clear grading criteria, Lecture heavy, Accessible outside class, Caring"
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Adriana De Marchi Gherini,4.3/5,100%,2.3,"Participation matters, Amazing lectures, Clear grading criteria, Caring, Graded by few things"
David Kenneth Henderson,3/5,43%,3.2,"Lots of homework, Get ready to read, Gives good feedback, Tough grader, Lecture heavy"
Dontarie M Stallings,4.3/5,64%,4,"Test heavy, Accessible outside class, Caring, Tough grader, Clear grading criteria"
Janelle Ann,N/A,N/A,N/A,
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Richard Norris Pitt,4.3/5,100%,3.1,"Clear grading criteria, Caring, Gives good feedback, Accessible outside class"
Yizhak Fadlon,4.8/5,N/A,2,None
Mikio C Aoi,3/5,N/A,2.5,"Tough grader, Skip class? You won't pass., Tests? Not many, Gives good feedback, Lots of homework"
Lauryn Alissa Smith,3.6/5,20%,3,"Get ready to read, Tough grader, Skip class? You won't pass., Participation matters, Would take again"
Adam Daniel Weiss,3/5,50%,2,"Get ready to read, Inspirational, Online Savvy"
Jun Bo Lau,4.3/5,95%,3.5,"Lots of homework, Accessible outside class, Hilarious, Respected, Skip class? You won't pass."
Brenda Laurie Bloodgood,3.8/5,61%,4.3,"EXTRA CREDIT, Test heavy, Tough grader, Lecture heavy, Caring"
Nathaniel James,5/5,N/A,1.8,None
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Christina Aushana,N/A,N/A,N/A,
Laura K Case,4/5,100%,3.2,"Amazing lectures, Clear grading criteria, Hilarious"
Yazhou Liu,3.3/5,34%,2.8,"Test heavy, Amazing lectures, Respected"
George C. Papen,4.3/5,100%,2.7,"Amazing lectures, Clear grading criteria, Inspirational, Lots of homework, Caring"
Kathrina Esguerra Mendoza,5/5,100%,1,"Clear grading criteria, Respected, Accessible outside class"
Robert Nicklas,4/5,67%,3.4,"Skip class? You won't pass., Amazing lectures, Hilarious, Would take again, Inspirational"
Colin Leslie Campbell,4.4/5,95%,2.8,"Group projects, Gives good feedback, Online Savvy, Clear grading criteria, Graded by few things"
Michael Henry Ostertag,5/5,100%,3.3,"Caring, Respected, Accessible outside class, Clear grading criteria, Gives good feedback"
Yuri A.,4.8/5,N/A,2,"Get ready to read, Gives good feedback, Inspirational"
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Jason Schweinsberg,4.6/5,70%,3.4,"Lots of homework, Amazing lectures, Respected, Tough grader, Gives good feedback"
Christopher D Day,3.7/5,84%,3.2,"Caring, Amazing lectures, Clear grading criteria, Inspirational, Accessible outside class"
Germaine Hoston,2.4/5,12%,4.3,"Get ready to read, Lecture heavy, Skip class? You won't pass., Graded by few things, Tough grader"
Clara Leigh Meaders,5/5,100%,4.3,"EXTRA CREDIT, Caring, Amazing lectures, Accessible outside class, Inspirational"
Rachel Lee Flesher,2.5/5,0%,3.5,None
Jade A D'Alpoim Guedes,3.2/5,100%,3.7,"Beware of pop quizzes, Tough grader, Skip class? You won't pass., Lecture heavy, Amazing lectures"
Lindsey Jane Powell,4.5/5,100%,2.6,"Gives good feedback, Caring, Get ready to read, EXTRA CREDIT, Participation matters"
Martina Ulivieri,2/5,0%,4,Test heavy
Paula Santa Rosa Siqueira Mendes,4.8/5,N/A,2.3,None
Alexandra Rene,3.5/5,100%,3,None
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Nathan E Green,4.1/5,72%,3.4,"Accessible outside class, Amazing lectures, Test heavy, Tough grader, Skip class? You won't pass."
Leesa B Anzaldo,5/5,87%,3.8,"Amazing lectures, Accessible outside class, Caring, Respected, Clear grading criteria"
Eugene Yew,3/5,0%,3.5,"Tough grader, Graded by few things"
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Ruth Wallen,3.8/5,67%,3.2,"Caring, Participation matters, Gives good feedback"
Hannah Grace Lanneau,5/5,N/A,1.5,None
Muhammed Zohir Chowdhury,4.4/5,87%,3,"Group projects, Clear grading criteria, Respected, Tough grader, Gives good feedback"
Nuno Bandeira,4.3/5,100%,3.2,"Amazing lectures, Would take again, Tough grader, Get ready to read, Lots of homework"
Glenn Chatmas Smith,4.3/5,76%,3.1,"Get ready to read, Graded by few things, Test heavy, Lecture heavy, Tough grader"
Sean Thomas Griffin,5/5,100%,3.5,"Clear grading criteria, Lecture heavy, Accessible outside class"
Emmanuel Theodorakis,3.8/5,63%,3.2,"Hilarious, Tough grader, Test heavy, Graded by few things, Amazing lectures"
Lawrence Douglas Frank,3/5,40%,3.8,"Lots of homework, Tough grader, Skip class? You won't pass., Get ready to read, Participation matters"
Reuven Moses Hodges,3.5/5,100%,3.5,"Caring, Accessible outside class, Tough grader, Clear grading criteria, Respected"
He Jin Moon,3.7/5,50%,2.7,"Participation matters, Tough grader, Skip class? You won't pass., Gives good feedback, Caring"
Zachary Seth Konick,FAILED SEARCH,FAILED SEARCH,FAILED SEARCH,
Zachary Seth,4.3/5,95%,2.5,"Respected, Clear grading criteria, Get ready to read, Would take again, Lecture heavy"
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Robert Harold Campbell,4.6/5,89%,2.3,"Inspirational, Amazing lectures, Respected, Participation matters, Caring"
Mayumi Mochizuki McKee,4.8/5,100%,2.3,"Caring, Participation matters, Lots of homework, Skip class? You won't pass., Group projects"
Luis A Alvarez,4.5/5,93%,2.5,"Get ready to read, Lecture heavy, Clear grading criteria, EXTRA CREDIT, Amazing lectures"
Manuel Rogelio Vargas,3.5/5,46%,3.6,"Get ready to read, Hilarious, Participation matters, Beware of pop quizzes, Graded by few things"
Miriam Kastner,2.5/5,N/A,3,"Get ready to read, Skip class? You won't pass., Lots of homework"
Amy S.V. Bintliff,5/5,100%,2,"Caring, Inspirational, Accessible outside class, Gives good feedback, Participation matters"
Daniel Rogalski,3.9/5,100%,3.4,"Lots of homework, Skip class? You won't pass., Amazing lectures, Would take again, Accessible outside class"
Michael E McCullough,4.9/5,94%,3.6,"Amazing lectures, Hilarious, Caring, EXTRA CREDIT, Lecture heavy"
Elsa Eleanor Cleland,3.5/5,67%,3.3,"Respected, Test heavy, Graded by few things, Clear grading criteria"
Kun Zhang,5/5,100%,3.3,"Lots of homework, Skip class? You won't pass., Amazing lectures, Clear grading criteria, Gives good feedback"
Landon Lee Bain,5/5,100%,3,"Get ready to read, Caring, Lecture heavy"
Sergei Krasheninnikov,2.1/5,0%,3.3,"Tough grader, Get ready to read, Clear grading criteria, Test heavy, Graded by few things"
Michael M. Fogler,2.8/5,45%,4,"Tough grader, Lots of homework, Lecture heavy, Test heavy, Participation matters"
Gershon Shafir,4/5,80%,3.2,"Get ready to read, Skip class? You won't pass., Caring, Respected, Graded by few things"
Ryan Charles Kastner,3.9/5,50%,3.2,"Gives good feedback, Caring, Respected"
Michael Noel,3.3/5,60%,4.3,"Skip class? You won't pass., Participation matters, Amazing lectures, Respected"
Liang Yang,3.6/5,100%,3.4,"Group projects, Gives good feedback, Caring, Respected, Lecture heavy"
Gen-Sheng Feng,3/5,40%,3.3,"Tough grader, Clear grading criteria, Test heavy, Caring, Graded by few things"
Justin Raymond Meyer,3.8/5,89%,3.6,"Amazing lectures, Lecture heavy, Test heavy, Graded by few things, Clear grading criteria"
Geoffrey E. Braswell,2.5/5,50%,4.5,"Tough grader, Skip class? You won't pass., Test heavy, Tests are tough"
Fonna Forman,4.7/5,100%,2.1,"Amazing lectures, Respected, Inspirational, Get ready to read, Caring"
Sarah Creel,3.3/5,72%,3.3,"Get ready to read, Lecture heavy, Test heavy, Tough grader, Skip class? You won't pass."
Mai Nguyen,5/5,100%,2,None
David A Lake,4.3/5,100%,2.9,"Inspirational, Respected, Get ready to read, Participation matters, Skip class? You won't pass."
Yuan-Yuan Zhou,3.8/5,80%,4.3,"Tough grader, Get ready to read, Skip class? You won't pass., Tests are tough, Group projects"
Amato Tomas Evan,3/5,100%,1,"Skip class? You won't pass., Group projects, Lecture heavy"
Ricardo Dominguez,4.3/5,100%,2.9,"Respected, Inspirational, Amazing lectures, Participation matters, Would take again"
Christina M Gremel,3.1/5,62%,4,"Test heavy, Lecture heavy, Graded by few things, Tough grader, Skip class? You won't pass."
Jeffrey P.,3.4/5,60%,2.4,"Group projects, Participation matters, Amazing lectures, Inspirational, Get ready to read"
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Paul Tchir,N/A,N/A,N/A,
Erin D Graff Zivin,4/5,N/A,4,"Get ready to read, Lots of homework"
Brian Wesley,3/5,0%,2.9,"Tough grader, Lots of homework, Get ready to read, Skip class? You won't pass., Tests are tough"
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Rachel Janelle Dutton,5/5,100%,2.4,"EXTRA CREDIT, Amazing lectures, Clear grading criteria, Inspirational, Accessible outside class"
Ursula Meyer,N/A,N/A,N/A,
Gila Sher,3/5,0%,3.4,"Get ready to read, Graded by few things, Lecture heavy, Test heavy, Skip class? You won't pass."
Nancy Grey Postero,4.3/5,50%,3.6,"Get ready to read, Amazing lectures, Participation matters, Inspirational, Accessible outside class"
Troy Andreas Kokinis,3.4/5,73%,2.8,"Get ready to read, Lecture heavy, Graded by few things, Tough grader, Skip class? You won't pass."
Kathryne Young Metcalf,4.8/5,95%,2.3,"Hilarious, Get ready to read, Beware of pop quizzes, Amazing lectures, EXTRA CREDIT"
Kevin Michael Brown,1/5,0%,5,"Tough grader, Lecture heavy, Test heavy"
Sutanu Sarkar,3.6/5,0%,3.6,"Inspirational, Respected, Lecture heavy"
David R. Miller,4/5,100%,3.3,"Inspirational, Would take again, Lots of homework, Caring, Amazing lectures"
Christina Schneider,4.4/5,100%,2.4,"EXTRA CREDIT, Would take again, Clear grading criteria, Get ready to read, Group projects"
Ali Zare Hosseinzadeh,1.6/5,0%,3.9,"Tough grader, Lecture heavy, Skip class? You won't pass., Lots of homework"
Ruth Luo,3.5/5,67%,4,"Graded by few things, Tough grader, Get ready to read, Skip class? You won't pass., Amazing lectures"
Melissa Fawn Warstadt,3.9/5,67%,2.9,"Caring, Accessible outside class, Amazing lectures, Clear grading criteria, Graded by few things"
Michael L Norman,4.3/5,100%,1.5,"Clear grading criteria, Inspirational, Lots of homework, Caring, Lecture heavy"
Yoav Freund,2.8/5,20%,4.1,"Tough grader, Group projects, Lots of homework, Graded by few things, Tests are tough"
Anthony Curtis Davis,3.1/5,50%,2.4,"Tough grader, Get ready to read, Lecture heavy"
Lin Thu Hein,N/A,N/A,N/A,
Jon Marcus Anderson,3.4/5,67%,3.5,"Get ready to read, Test heavy, Tough grader, Respected, Tests are tough"
Liam O'Connor Mueller,5/5,100%,2.8,"Inspirational, Accessible outside class, Amazing lectures, Clear grading criteria, Gives good feedback"
Donald A. Norman,4.3/5,100%,1.5,"Clear grading criteria, Inspirational, Lots of homework, Caring, Lecture heavy"
Federico Rossano,4.3/5,100%,2.6,"Group projects, EXTRA CREDIT, Hilarious, Gives good feedback, Respected"
Tara Hutchinson,4/5,N/A,4,None
Reuven A Brandt,4.8/5,100%,2.6,"Caring, Get ready to read, Graded by few things, Gives good feedback, Respected"
